what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.wst.jsdt.ui,1.1.2.v201009010353,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1401081432817
activated,editor,org.eclipse.wst.jsdt.ui,1.1.2.v201009010353,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1401081432873
activated,editor,org.eclipse.wst.css.ui,1.0.501.v201008232042,"org.eclipse.wst.css.core.csssource.source",1401081447081
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1401081448731
activated,editor,org.eclipse.wst.jsdt.ui,1.1.2.v201009010353,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1401081450789
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1401081454574
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1401081455823
opened,view,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.ui.explorer",1401081458056
activated,view,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.ui.explorer",1401081458097
started,bundle,org.eclipse.rse.services,3.2.0.v201006041352,"org.eclipse.rse.services",1401081458228
started,bundle,org.eclipse.rse.core,3.1.101.v201009071110,"org.eclipse.rse.core",1401081458244
started,bundle,org.eclipse.rse.ui,3.1.101.v201008191400,"org.eclipse.rse.ui",1401081458306
started,bundle,org.eclipse.dltk.rse.ui,2.0.0.v20100115-2213,"org.eclipse.dltk.rse.ui",1401081458307
started,bundle,org.eclipse.rse.subsystems.files.core,3.2.1.v201008191400,"org.eclipse.rse.subsystems.files.core",1401081458308
started,bundle,org.eclipse.dltk.rse.core,2.0.1.v20100804-1944,"org.eclipse.dltk.rse.core",1401081458311
started,bundle,org.eclipse.rse.subsystems.files.local,2.1.101.v200907301400,"org.eclipse.rse.subsystems.files.local",1401081458311
started,bundle,org.eclipse.rse.connectorservice.local,2.1.100.v200905272300,"org.eclipse.rse.connectorservice.local",1401081458334
started,bundle,org.eclipse.rse.services.local,2.1.201.v201009071110,"org.eclipse.rse.services.local",1401081458334
started,bundle,org.eclipse.rse.subsystems.shells.core,3.1.100.v201003010830,"org.eclipse.rse.subsystems.shells.core",1401081458367
started,bundle,org.eclipse.rse.subsystems.shells.local,2.1.100.v200905272300,"org.eclipse.rse.subsystems.shells.local",1401081458367
started,bundle,org.eclipse.dltk.validators.ui,2.0.0.v20091214-1712,"org.eclipse.dltk.validators.ui",1401081460252
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1401081460255
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1401081460279
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401081463041
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401081478596
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1401081478601
activated,editor,org.eclipse.wst.jsdt.ui,1.1.2.v201009010353,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1401081479863
activated,editor,org.eclipse.wst.css.ui,1.0.501.v201008232042,"org.eclipse.wst.css.core.csssource.source",1401081480495
activated,editor,org.eclipse.wst.jsdt.ui,1.1.2.v201009010353,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1401081486217
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1401081498373
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401081498816
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401081566271
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401081568361
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401084122018
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401084122033
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401084123427
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1401084179542
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1401084185196
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1401084225586
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1401084288245
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1401084295265
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1401084311525
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401084317729
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401084341643
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401084344456
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401084345787
activated,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1401084345850
started,bundle,org.eclipse.wst.jsdt.debug.core,1.0.1.v201008170101,"org.eclipse.wst.jsdt.debug.core",1401084375400
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401084375419
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401084377206
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401084377378
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1401084377573
